Rank,Name,Obj#,LHS,RA (2000.0),DEC (2000.0),"PM (""/yr)",Angle,Parallax,,Error,Spectral Type,V,Mv,Mass,common name
82,GJ 338 A,2,260,09 14 22.8,+52 41 12,1.634,249.8,0.16373,19.9206009894338,0.00252,M0.0 V,7.64,8.71,0.6,-
83,GJ 780,1,485,20 08 43.6,-66 10 55,1.656,133,0.16371,19.9230346344145,0.00017,G8.0 IV,3.55,4.62,1.1,delta Pavonis
84,GJ 268 A,2,226,07 10 01.8,+38 31 46,1.045,204.9,0.16341,19.959610794933,0.00178,M4.5 V,12.05,13.12,0.17,QY Aurigae A
85,2MA 0937+2931,1,-,09 37 34.9,+29 31 41,1.622,143.1,0.1633,19.9730557256583,0.0016,T6.0 V,-,-,0.03,-
86,GJ 784,1,3531,20 13 53.4,-45 09 50,0.794,101.6,0.16135,20.2144406569569,0.00099,M0.0 V,7.95,8.99,0.58,-
87,GJ 555,1,2945,14 34 16.8,-12 31 10,0.694,329,0.16078,20.2861052369698,0.00198,M4.0 V,11.32,12.35,0.2,HN Librae
88,GJ 896 A,2,3965,23 31 52.2,+19 56 14,0.558,96.4,0.15988,20.4003002251689,0.00153,M3.5 V,10.27,11.29,0.33,EQ Pegasi
89,GJ 581,1+4P,394,15 19 26.8,-07 43 20,1.229,265.4,0.1578,20.6692015209125,0.00176,M3.0 V,10.57,11.56,0.3,Wolf 562
90,LHS 2090,1,2090,09 00 23.6,+21 50 05,0.774,221.2,0.15687,20.7917383820998,0.00267,M6.0 V,16.1,17.08,0.09,-
91,LHS 337,1,337,12 38 49.1,-38 22 54,1.464,206.4,0.15678,20.8036739380023,0.00199,M4.0 V,12.75,13.73,0.15,-
92,GJ 661 A,2,433,17 12 07.9,+45 39 57,1.625,168.4,0.15632,20.8648925281474,0.00128,M3.0 V,9.93,10.9,0.39,-
93,GJ 223.2,1,32,05 55 09.7,-04 10 17,2.377,166.6,0.15605,20.9009932713874,0.00075,DZ9,14.47,15.44,0.5,WD 0552-041
94,G 180-060,1,-,16 31 18.4,+40 51 54,0.358,330,0.156,20.9076923076923,0.004,M5.0 V,14.76,15.73,0.1,-
95,GJ 644 A,5,428,16 55 28.8,-08 20 11,1.208,223.3,0.15496,21.0480123902943,0.00052,M2.5 V,9.72,10.67,0.42,Wolf 630 A
96,GJ 625,1,-,16 25 24.6,+54 18 15,0.465,111.5,0.15314,21.2981585477341,0.00092,M1.5 V,10.1,11.03,0.37,-
97,GJ 1128,1,271,09 42 46.4,-68 53 06,1.121,356.7,0.15305,21.3106827834041,0.00241,M4.0 V,12.74,13.66,0.15,-
98,GJ 1156,1,324,12 19 00.3,+11 07 31,1.301,279.1,0.1529,21.3315892740353,0.003,M4.5 V,13.8,14.72,0.12,GL Virginis
99,GJ 892,1,71,23 13 17.0,+57 10 06,2.095,81.9,0.15284,21.3399633603769,0.00028,K3.0 V,5.57,6.49,0.81,-
100,LHS 3003,1,3003,14 56 38.5,-28 09 51,0.965,210.1,0.15249,21.3889435372811,0.00202,M7.0 V,17.05,17.97,0.08,-
101,GJ 408,1,-,11 00 04.3,+22 49 59,0.51,236.7,0.14932,21.8430216983659,0.00158,M2.5 V,10.02,10.89,0.39,Ross 104
102,GJ 829 A,2,508,21 29 36.8,+17 38 36,1.076,69.5,0.14901,21.8884638614858,0.00169,M3.0 V,11.05,11.92,0.26,Ross 775 A
103,G 041-014 A,3,-,08 58 56.3,+08 28 26,0.503,130,0.14766,22.0885818772857,0.00198,M3.5 V,11.94,12.79,0.18,-
104,GJ 566 A,2,-,14 51 23.4,+19 06 02,0.169,115,0.14757,22.1020532628583,0.00072,G7.0 V,4.67,5.51,0.94,ksi Bootis A
105,GJ 402,1,294,10 50 52.1,+06 48 29,1.15,225.1,0.14715,22.1651376146789,0.00298,M4.0 V,11.65,12.49,0.2,EE Leonis
106,GJ 880,1,533,22 56 34.8,+16 33 12,1.071,254.7,0.14637,22.2832547653208,0.00095,M1.5 V,8.65,9.48,0.55,Ross 671
107,GJ 299,1,35,08 11 57.5,+08 46 28,5.211,167.1,0.1463,22.2939166097061,0.0031,M4.0 V,12.82,13.65,0.15,Ross 619
108,LP 771-095 A,3,-,03 01 51.4,-16 35 36,0.477,234.4,0.14381,22.6799249009109,0.00249,M2.5 V,11.22,12.01,0.25,-
